Data;Id;Nome;Nivel;Id Alimento;Descricao;NP;GA;Kcal;Hidra;PA;Glic;In Natura;Processado;Ultraprocessados;Total;Pontuacao;Tempo
18-10-2017 17:37:04;0;Salvador;1;----;Garrafa de agua;----;----;68.72;-29.42;-100.00;11.34;10;10;31;51;230;111.83
18-10-2017 17:37:06;0;Salvador;1;32;Cenoura, cozida;1;----;100.00;-43.83;-100.00;16.93;10;11;31;52;233;110.23
18-10-2017 17:37:07;0;Salvador;1;26;Biscoito, polvilho doce;2;----;100.00;-57.34;-100.00;33.42;10;11;32;53;233;109.22
18-10-2017 17:37:09;0;Salvador;1;32;Cenoura, cozida;1;----;100.00;-68.26;-100.00;42.49;10;12;32;54;236;107.70
18-10-2017 17:37:10;0;Salvador;1;----;Garrafa de agua;----;----;86.42;-31.84;-100.00;18.91;10;12;32;54;236;105.99
18-10-2017 17:37:13;0;Salvador;1;----;Garrafa de agua;----;----;69.58;1.31;-100.00;-7.93;10;12;32;54;236;103.41
Data;Id;Nome;Nivel;Id Alimento;Descricao;NP;GA;Kcal;Hidra;PA;Glic;In Natura;Processado;Ultraprocessados;Total;Pontuacao;Tempo
18-10-2017 17:37:39;0;Salvador;1;26;Biscoito, polvilho doce;2;----;100.00;-27.16;-27.16;2.84;0;0;1;1;100;291.04
18-10-2017 17:37:51;0;Salvador;1;26;Biscoito, polvilho doce;2;----;100.00;-75.21;-75.21;-15.21;0;0;2;2;100;278.45
18-10-2017 17:37:53;0;Salvador;1;46;Tomate, molho industrializado;2;----;100.00;-91.28;-91.28;-1.28;0;0;3;3;100;276.50
18-10-2017 17:38:14;0;Salvador;1;23;Batata, frita, tipo chips, industrializada;2;----;100.00;-100.00;-100.00;-37.96;0;0;4;4;100;255.66
18-10-2017 17:38:16;0;Salvador;1;----;Garrafa de agua;----;----;83.63;-60.00;-100.00;-64.32;0;0;4;4;100;253.88
18-10-2017 17:38:34;0;Salvador;1;16;Acelga, crua;0;----;57.82;-75.82;-100.00;-100.00;1;0;4;5;110;235.43
18-10-2017 17:38:36;0;Salvador;1;23;Batata, frita, tipo chips, industrializada;2;----;100.00;-87.86;-100.00;-80.00;1;0;5;6;110;234.27
18-10-2017 17:38:37;0;Salvador;1;22;Batata, baroa, crua;0;----;95.69;-82.16;-100.00;-94.31;2;0;5;7;120;232.51
18-10-2017 17:38:38;0;Salvador;1;22;Batata, baroa, crua;0;----;95.39;-72.47;-100.00;-100.00;3;0;5;8;130;232.00
18-10-2017 17:38:40;0;Salvador;1;46;Tomate, molho industrializado;2;----;100.00;-89.60;-100.00;-80.00;3;0;6;9;130;229.85
18-10-2017 17:38:43;0;Salvador;1;46;Tomate, molho industrializado;2;----;100.00;-100.00;-100.00;-65.04;3;0;7;10;130;227.29
18-10-2017 17:38:47;0;Salvador;1;21;Almeirao, refogado;1;----;100.00;-100.00;-100.00;-70.35;3;1;7;11;133;222.52
